コンピュータシステムに関する評価指標で、信頼性、可用性、保守性、完全性、安全性の5項目の英文字の頭文字を組み合わせた用語,RASIS,スループット,フェールソフト,ミラーリング,RASIS
システムの故障発生が少ないこと。,可用性,信頼性,保守性,完全性,信頼性
一定期間にシステムが正常に使える時間の割合が長いこと。,可用性,信頼性,保守性,完全性,可用性
故障の際の修復時間が短いこと。,可用性,信頼性,保守性,安全性,保守性
データの矛盾が起きないように、その整合性を維持すること。,可用性,信頼性,保守性,完全性,完全性
不正に情報を持ち出したりすることから守ること。,安全性,信頼性,保守性,完全性,安全性
コンピュータシステムが、一定時間内で正常に動作している時間の割合(確率)。,スループット,稼働率,フォールトトレラント,フォールトアボイダンス,稼働率
コンピュータシステムが故障してから復旧し、次に故障するまでの平均時間。,平均修復時間,平均故障間隔,レスポンスタイム,ターンアラウンドタイム,平均故障間隔
コンピュータシステムが故障してから、完全に復旧するまでの平均時間。,平均修復時間,平均故障間隔,レスポンスタイム,RAID,平均修復時間
コンピュータシステムや通信回線などが、一定の時間内に処理できる仕事量や伝送できる情報量。,ミラーリング,ストライピング,スループット,フールプルーフ,スループット
コンピュータシステムに処理を要求してから、最初の応答が得られるまでの時間。,ターンアラウンドタイム,レスポンスタイム,フェールセーフ,フェールソフト,レスポンスタイム
コンピュータに処理実行の指示を出してから、すべての実行結果が得られるまでの時間。,ターンアラウンドタイム,レスポンスタイム,フェールソフト,フェールセーフ,ターンアラウンドタイム
障害が発生しても、システム全体が機能を停止することなく稼働し続けるしくみ。,フェールセーフ,フォールトアボイダンス,フールプルーフ,フォールトトレラント,フォールトトレラント
信頼性の高い部品の採用や利用者の教育など、コンピュータシステムに可能な限り故障や障害が起きないようにすること。,フェールセーフ,フォールトアボイダンス,フールプルーフ,フォールトトレラント,フォールトアボイダンス
障害が発生しても、被害や障害を最小限に止め、安全性を保つしくみ。,フェールセーフ,フォールトアボイダンス,フールプルーフ,フォールトトレラント,フェールセーフ
障害が発生した場合でも、システムの一部を停止して、他のシステムは継続して全体のシステムには支障をきたさないようにするしくみ。,フェールセーフ,フォールトアボイダンス,フェールソフト,フォールトトレラント,フェールソフト
誤った操作をしても、システムの安全性と信頼性を保つしくみ。,フェールセーフ,フォールトアボイダンス,フールプルーフ,フォールトトレラント,フールプルーフ
コンピュータネットワークに直接接続して使用する記憶装置のこと。,RAID,ミラーリング,NAS,スループット,NAS
信頼性や処理速度を向上させるために、複数のハードディスク装置を並列に組み合わせて一体化し、全体を一つのディスク装置のように扱う方式,RAID,ミラーリング,NAS,スループット,RAID
RAID1に相当し、複数のハードディスクに同じデータを書き込む方式。,RAID,ミラーリング,NAS,ストライピング,ミラーリング
RAID0に相当し、複数のハードディスクに分散して書き込む方式。,ストライピング,RAID,ミラーリング,NAS,ストライピング