データベースの表に新しいレコードを追加する。,UPDATE ~ SET ~ WHERE ~,DELETE FROM ~ WHERE ~,INSERT INTO ~ VALUES,lIKE,INSERT INTO ~ VALUES
データベースのレコードの内容を更新する。,DELETE FROM WHERE,UPDATE ~ SET ~ WHERE,ORDER BY ASC,DELETE FROM ~ WHERE ~,UPDATE ~ SET ~ WHERE
データベースのレコードを削除する。,UPDATE ~ SET ~ WHERE ~,DELETE FROM ~ WHERE,GROUP BY ~,BETWEEN,DELETE FROM ~ WHERE
重複データを取り除く。,LIKE,BETWEEN,DISTINCT,IN,DISTINCT
文字列のデータの中から、指定した文字列を検索する。検索にはワイルドカードが使用可能。,DISTINCT,LIKE,NOT IN,EXISTS,LIKE
データを並べ替える。,UPDATE ~ SET ~ WHERE ~, ORDER BY ~ ASC,GROUP BY ~,DELETE FROM ~ WHERE,ORDER BY ~ ASC
データを並べ替える。,UPDATE ~ SET ~ WHERE ~, ORDER BY ~ DESC,GROUP BY ~,DELETE FROM ~ WHERE,ORDER BY ~ DESC
データをグループ化する,ORDER BY ~,GROUP BY ~,DElETE FRIM ~ WHERE, UPDATE ~ SET ~ WHERE,GROUP BY ~
ある値が特定の範囲に当てはまるかどうかを調べる。,LIKE,BETWEEN,DISTINCT,NOT IN,BETWEEN
値の集合を明確に定義する。,EXISTS,IN,DISTNICT,BETWEEN,IN
値の集合を明確に定義する。,EXISTS,NOT IN,DISTNICT,BETWEEN,NOT IN