比較的大規模な開発に向いており、要件定義、外部設計などいくつかの工程に分割してシステムを開発する手法。,ウォータフォールモデル,プロトタイピングモデル,スパイラルモデル,システムテスト,ウォータフォールモデル
試作品に対するユーザの評価をもとに、システムを開発する手法。,ウォータフォールモデル,プロトタイピングモデル,スパイラルモデル,システムテスト,プロトタイピングモデル
システムを独立性の高い部分ごとに分割し、ユーザの要求やインタフェースの検討などを経て、設計・プログラミング・テストの工程を繰り返してシステムを開発する手法。,ウォータフォールモデル,プロトタイピングモデル,スパイラルモデル,システムテスト,スパイラルモデル
システム開発の初期段階で、必要な機能や要求をまとめ、どのようなシステムなのか、何ができるシステムを作成するのかを定義すること。,外部設計,内部設計,要件定義,保守,要件定義
システム開発において、画面や帳票などを使用者側の視点から設計する開発工程。,外部設計,プログラム設計,プログラミング,内部設計,外部設計
ソフトウェアのアルゴリズムや入出力データなどを詳細に設計する開発工程,外部設計,プログラム設計,プログラミング,内部設計,内部設計
内部設計に基づいて、各プログラムの内部構造を設計する開発工程。,プログラム設計,内部設計,プログラミング,外部設計,プログラム設計
プログラム設計の結果を受けて、プログラム言語を用いて実際にプログラムを作成(コーディング)する開発工程。,内部設計,プログラミング,プログラム設計,外部設計,プログラミング
開発者だけでなくユーザも参加して、完成されたプログラムの検証を行うこと。,単体テスト,テスト,結合テスト,システムテスト,テスト
個々のプログラム(部品)が、仕様書の要求通りに機能しているかを確認するテスト。,単体テスト,テスト,結合テスト,システムテスト,単体テスト
複数のモジュール(部品)を組み合わせて、モジュール間でデータの受け渡しが設計どおりに行われているかなどを確認するテスト。,保守,ブラックボックステスト,結合テスト,ホワイトボックステスト,結合テスト
開発したシステム全体が、設計通りの機能を備えているかを確認するテスト。,単体テスト,ブラックボックステスト,ホワイトボックステスト,システムテスト,システムテスト
開発したシステムが安定して稼働するように管理したり、運用中の問題点を修正する業務。,保守,テスト,外部設計,プログラム設計,保守
プログラムが仕様を満たしているかを確認するために、プログラムの内部構造には着目しないで、データ入力に対する出力結果に注目して実施するテスト。,結合テスト,ブラックボックステスト,システムテスト,ホワイトボックステスト,ブラックボックステスト
プログラムの内部構造や処理の流れに注目し、プログラムが設計どおりに動いているかを確認するテスト。,結合テスト,ブラックボックステスト,システムテスト,ホワイトボックステスト,ホワイトボックステスト