半導体基板の上に、複数の電子部品を組み込んだ電子回路。,CPU,制御装置,集積回路,RAM,集積回路
電源を切っても記憶内容が消えない、読み取り専用のメモリ。,演算装置,RAM,ROM,SSD,ROM
電源を切ると記憶内容が消える、書き込みと読み取りが可能なメモリ。,SSD,DVD,RAM,ROM,RAM
プログラムを解読して計算処理などを行い、各装置を制御するコンピュータの中心部分。,演算装置,制御装置,CPU,SSD,CPU
コンピュータにおける五大装置の中で、記憶装置の命令を取り出して解読し、各装置に指示を与える装置。,主記憶装置,補助記憶装置,制御装置,演算装置,制御装置
コンピュータにおける五大装置の中で、データの四則計算や比較判断を行う装置。,制御装置,出力装置,補助記憶装置,演算装置,演算装置
コンピュータにおける五大装置の中で、プログラムやデータをためておく装置。,主記憶装置,補助記憶装置,記憶装置,制御装置,記憶装置
記憶装置のうちコンピュータ本体に組み込まれ、CPUから直接データの読み書きできる装置。メモリとも呼ばれる。,主記憶装置,記憶装置,制御装置,補助記憶装置,主記憶装置
記憶装置のうち、CPUから直接データの読み書きできない記憶装置。電源を切っても記憶内容は消えない。,出力装置,補助記憶装置,演算装置,SSD,補助記憶装置
複数の金属製の円盤を回転させ、磁気をを利用してデータの読み書きを行う補助記憶装置。,SSD,ハードディスク,DVD,ブルーレイ,ハードディスク
大容量の半導体メモリを用いた補助記憶装置。ハードディスクに比べ、省電力、衝撃耐久性、起動速度などに優れている。,DVD,ハードディスク,ブルーレイ,SSD,SSD
光ディスクに、赤色レーザ光線を用いて約4.7GB以上読み書きできる記憶媒体。映像の記録などに用いる。,ハードディスク,ブルーレイ,SSD,DVD,DVD
光ディスクに、青紫色レーザ光線を用いて約25GB読み書きできる記憶媒体。高画質の映像を記録できる。,SSD,ブルーレイ,DVD,フラッシュメモリ,ブルーレイ
電源を切っても記憶内容が消えない不揮発性の半導体を用いて読み書きする補助記憶装置。,SSD,ブルーレイ,DVD,フラッシュメモリ,フラッシュメモリ
コンピュータにおける五大装置の中で、プログラムやデータを主記憶装置に読み込む装置。,出力装置,タッチパネル,入力装置,制御装置,入力装置
ディスプレイ上のマークやボタンを指やペンで触れることによりデータを入力する装置,タッチパネル,バーコードリーダ,イメージスキャナ,入力装置,タッチパネル
写真や絵、印刷物などを光学的に読み取り、ディジタルデータとして入力する装置。,バーコードリーダ,Bluetooth,イメージスキャナ,出力装置,イメージスキャナ
商品などについたバーコードを光学的に読み取って入力する装置。,インクジェットプリンタ,イメージスキャナ,バーコードリーダ,プロジェクタ,バーコードリーダ
コンピュータにおける五大装置の中で、データを処理結果を表示したり、印字したりする装置,入力装置,バーコードリーダ,イメージスキャナ,出力装置,出力装置
細かな液状のインクを用紙に吹き付けて印字する出力装置,レーザープリンタ,インクジェットプリンタ,インタフェース,USB,インクジェットプリンタ
印字データをレーザ光により感圧ドラムにあて、トナーを付着させてから用紙に転写する出力装置,インクジェットプリンタ,イメージスキャナ,レーザプリンタ,出力装置,レーザプリンタ
パソコンの画面やDVDの映像などをスクリーンや壁などに投影する装置。,インタフェース,USB,HDMI,プロジェクタ,プロジェクタ
コンピュータ本体と情報機器を接続して、データをやりとりするための規格,USB,HDMI,Bluetooth,インタフェース,インタフェース
一つの受け口で最大127台までの情報機器を入力できるインタフェース規格,USB,HDMI,Bluetooth,インタフェース,USB
ディジタル家電やAV機器で使われる映像や音声の入出力用のインタフェース規格,USB,HDMI,Bluetooth,インタフェース,HDMI
電波を使って、数mから数十m程度の近距離感でのデータ通信に利用されるインタフェース規格,USB,HDMI,Bluetooth,インタフェース,Bluetooth
コンピュータの操作を、ボタンやアイコンを選択することで直感的に簡単に行えるようにした操作環境,アイコン,GUI,スクロール,カーソル,GUI
コンピュータを直感的に操作できるようにしたディスプレイ上の小さな絵文字,アイコン,GUI,スクロール,カーソル,アイコン
画面上データの入力位置や操作位置を示すしるし。,アイコン,GUI,スクロール,カーソル,カーソル
画面上に表示しきれない文字や画像を見るために、表示範囲を移動させる操作,アイコン,GUI,スクロール,カーソル,スクロール
数値を、０と１の２種類の数字のみで表現したもの,ビット,バイト,フォルダ,2進数,2進数
２進数の１桁で表される情報の最小単位,バイト,ビット,ms,μs,ビット
２進数の８桁で表される情報の基本単位,ビット,バイト,ns,ps,バイト
処理速度の単位で、1 000(千)分の１秒。※三桁カンマの代わりに、空白を使用している。,μs,ns,ms,fs,ms
処理速度の単位で、1 000 000(百万)分の１秒。※三桁カンマの代わりに、空白を使用している。,ns,fs,μs,ps,μs
処理速度の単位で、1 000 000 000(十億)分の１秒。※三桁カンマの代わりに、空白を使用している。,ns,fs,ps,ms,ns
処理速度の単位で、1 000 000 000 000(一兆)分の１秒。※三桁カンマの代わりに、空白を使用している。,fs,ps,ns,μs,ps
処理速度の単位で、1 000 000 000 000 000(千兆)分の１秒。※三桁カンマの代わりに、空白を使用している。,ns,ps,fs,μs,fs
記憶容量の単位で、約1 000(千)バイト(B)。※三桁カンマの代わりに、空白を使用している。,MB,KB,GB,TB,KB
記憶容量の単位で、約1 000 000(百万)バイト(B)。約1 000KB。※三桁カンマの代わりに、空白を使用している。,PB,MB,KB,TB,MB
記憶容量の単位で、約1 000 000 000(十億)バイト(B)。約1 000MB。※三桁カンマの代わりに、空白を使用している。,GB,TB,KB,TB,GB
記憶容量の単位で、約1 000 000 000 000(一兆)バイト(B)。約1 000GB。※三桁カンマの代わりに、空白を使用している。,KB,TB,KB,fs,TB
記憶容量の単位で、約1 000 000 000 000 000(千兆)バイト(B)。約1 000TB。※三桁カンマの代わりに、空白を使用している。,MB,KB,PB,TB,PB
記憶媒体を利用できるようにするための作業。初期化ともいう。,フォルダ,リアルタイム処理,フォーマット,バッチ処理,フォーマット
データを記憶媒体に保存する際に付ける名前,フォーマット,ファイル名,バッチ処理,EOS,ファイル名
記憶媒体でファイルを分類、整理するために作られる保存場所,フォーマット,バーコード,フォルダ,JANコード,フォルダ
発生したデータを一定期間または一定量ためておき、一括して処理する方式,フォーマット,バーコード,リアルタイム処理,バッチ処理,バッチ処理
発生したデータを即座に処理する方式,リアルタイム処理,バッチ処理,フォーマット,バーコード,リアルタイム処理
企業間の商品の受注義務・発注義務をオンラインで結ばれたコンピュータを用いて、効率的に行う電子発注システム。,EC,POSシステム,二次元バーコード,EOS,EOS
インターネットを利用して、商品やサービスの取引を行うしくみ,バーコード,POSシステム,EOS,EC,EC
販売店のレジで商品のバーコードを読み取ることで。売上情報を収集して記録するしくみ,POSシステム,EOS,EC,RFID,POSシステム
横方向に並んだ直線の太さや間隔によって、データを記録したもの。商品情報などに利用されている,JANコード,バーコード,2次元バーコード,非接触型ICカード,バーコード
JISによって規格化されたバーコードで、日本の共通商品コードになっている,JANコード,バーコード,2次元バーコード,IoT,JANコード
小さな正方形の点を縦横に並べ、どの方向からも正確に読み取れるコード。バーコードの数百倍の情報を記録できる,二次元バーコード,JANコード,バーコード,AI,二次元バーコード
無線通信によりICタグからの情報を読み書きし、商品を管理する技術,非接触型ICカード,IoT,POSシステム,RFID,RFID
内部に集積回路とアンテナを内蔵し、電波を利用してデータの読み書きができるカード,非接触型ICカード,EOS,二次元バーコード,EC,非接触型ICカード
人間の知能をコンピュータで実現するための技術。自律的に認識、学習、推論を行う。,EOS,AI,EC,AI,AI
情報端末以外の電子機器や機械類をインターネットに接続して、情報をやり取りするしくみ。モノのインターネット,POSシステム,AI,IoT,RFID,IoT
家庭や企業にインターネットの各種サービスを提供する接続業者,HTML,ブラウザ,プロバイダ,URL,プロバイダ
Webページを作成するための言語,ブラウザ,HTML,プロバイダ,ハイパーリンク,HTML
Webページを閲覧するためのソフトウェア,ドメイン名,ハードディスク,ブラウザ,HTML,ブラウザ
インターネットにおいて、HTML文書や画像などのファイルの保存場所を示すアドレス,ハイパーリンク,ブラウザ,プロバイダ,URL,URL
URLや電子メールアドレスの、組織・団体など所属を表す部分,プロバイダ,ドメイン名,ハイパーリンク,URL,ドメイン名
Webページ間を関連づけて、指定した文字や画像をクリックすると関連したWebページに移動する機能のこと,URL,ドメイン名,ハイパーリンク,プロバイダ,ハイパーリンク
インターネット上に公開されている情報を検索するために利用するWebページ,Webサーバ,メールサーバ,検索エンジン,ドメイン名,検索エンジン
Webページの情報を蓄積しておき、ブラウザからの要求に応じて送信するコンピュータ,ブラウザ,URL,ドメイン名,Webサーバ,Webサーバ
電子メールの送受信を行うコンピュータ,メールサーバ,メーラ,Webメール,宛先,メールサーバ
電子メールを送受信するためのソフトウェア,メールサーバ,Webメール,メーラ,宛先,メーラ
メールを使わずに、ブラウザ上で電子メールの送受信を行うしくみ,Webメール,宛先,宛先,メーラ,Webメール
電子メールを送信したい相手のメールアドレスを入力する場所,メーラ,宛先,カーボンコピー,ブラインドカーボンコピー,宛先
電子メールを複数の相手に同時に送信するメーラの機能で、指定したメールアドレスは他の受信者にも通知される,カーボンコピー,ブラインドカーボンコピー,添付ファイル,ファイルサーバ,カーボンコピー
電子メールを複数の相手に同時に送信するメーラの機能で、指定したメールアドレスは他の受信者にも通知されない,カーボンコピー,ブラインドカーボンコピー,ファイルサーバ,宛先,ブラインドカーボンコピー
電子メールの送信時に本文と同時に送付される、画像や音楽、アプリケーションソフトなどのファイルのこと,ファイルサーバ,オンラインストレージ,添付ファイル,アップロード,添付ファイル
複数の利用者が共有するワープロ文書やワークシートなどのファイルを保存しているコンピュータ,プリントサーバ,ファイルサーバ,オンラインストレージ,カーボンコピー,ファイルサーバ
複数の利用者でプリンタを共有するために設置されたコンピュータ,プリントサーバ,ファイルサーバ,宛先,メールサーバ,プリントサーバ
インターネット上に用意されたデータの保存場所。一つのファイルを複数の利用者で共有できる,ダウンロード,アップロード,オンラインストレージ,ファイルサーバ,オンラインストレージ
利用者のコンピュータにあるプログラムやデータを、ネットワーク上のコンピュータに転送して保存すること,アップロード,ダウンロード,ファイルサーバ,カーボンコピー,アップロード
ネットワーク上のコンピュータにあるプログラムやデータを、利用者のコンピュータに転送して保存すること,Webメール,Webサーバ,アップロード,ダウンロード,ダウンロード
他人に知られたくない個人の情報を本人の許可なく公開し、精神的苦痛を与えること,フィルタリング,有害サイト,プライバシーの侵害,フィッシング詐欺,プライバシーの侵害
青少年に閲覧させたくない不適切なWebサイトへのアクセスを制限する機能,有害サイト,フィルタリング,迷惑メール,ネット詐欺,フィルタリング
青少年の健全な育成をさまたげる情報や犯罪となりうつ情報を掲載している不適切なWebサイト,有害サイト,フィルタリング,プライバシーの侵害,ワンクリック詐欺,有害サイト
相手の同意なしに一方的に送りつけて、受信者が不愉快な思いをするような電子メールの総称,有害サイト,迷惑メール,チェーンメール,スパムメール,迷惑メール
迷惑メールのうち、不特定多数の人に大量に送信される商品の広告や勧誘などの電子メール,スパムメール,チェーンメール,迷惑メール,ワンクリック詐欺,スパムメール
迷惑メールのうち、受信者に受信内容を他の人へも送信するように促す電子メール,スパムメール,チェーンメール,迷惑メール,有害サイト,チェーンメール
インターネット上で、人を騙して金銭などを得ようとする犯罪行為。,ワンクリック詐欺,フィッシング詐欺,ネット詐欺,チェーンメール,ネット詐欺
偽の電子メールやWebサイトから、クレジットカード番号や暗証番号などの個人情報を不正に入手する詐欺行為,スパムメール,チェーンメール,ワンクリック詐欺,フィッシング詐欺,フィッシング詐欺
Webページなどでハイパーリンクの設定された文字や画像をクリックさせて、不当な料金を請求する詐欺行為,ワンクリック詐欺,スパムメール,フィッシング詐欺,ネット詐欺,ワンクリック詐欺
ある人物が本当にその人物であるかどうか、パスワードなどを用いて確認すること,生体認証,ユーザID,認証,パスワード,認証
人間の身体的な特徴から個人の識別を行う認証システムのこと,ユーザID,生体認証,認証,パスワード,生体認証
コンピュータシステムやネットワークに接続する際に利用者を識別するために入力する入力する番号や文字列,パスワード,ユーザID,なりすまし,アクセス制限,ユーザID
ユーザIDを入力した利用者が本人かどうかを確認するために入力する暗証番号,パスワード,ユーザID,アクセス制限,アクセス権,パスワード
利用者の身分や職位によって、コンピュータやファイルなどを利用する権限を制限すること,不正アクセス,アクセス制限,パスワード,なりすまし,アクセス制限
ネットワーク上にあるコンピュータやファイル、情報機器を利用するための権限のこと,不正アクセス,なりすまし,アクセス権,アクセス制限,アクセス権
利用権限の無いコンピュータシステムへ侵入したり、利用したりすること,アクセス制限,不正アクセス,アクセス権,パスワード,不正アクセス
ネットワークに他人のパスワード等を不正に用いて侵入し、その人のふりをして活動すること,不正アクセス,なりすまし,アクセス制限,アクセス権,なりすまし
他人のコンピュータシステムに被害を与える目的で、悪意を持って作られたソフトウェアの総称,コンピュータウイルス,スパイウェア,マルウェア,ワーム,マルウェア
プログラムに組み込まれてコンピュータシステムに侵入し、不正な処理を行い、自分の複製を作って増殖するマルウェア,コンピュータウイルス,マルウェア,ワーム,トロイの木馬,コンピュータウイルス
利用者が気づかぬうちにコンピュータに侵入し、利用者に関する情報を収集して、外部へ送信するマルウェア,マルウェア,スパイウェア,ワーム,ウイルス定義ファイル,スパイウェア
侵入したコンピュータに自分の複製を大量に作成して、さまざまな不具合を起こすマルウェア,マルウェア,ワーム,コンピュータウイルス,スパイウェア,ワーム
一見無害なソフトウェアを装って侵入し、特定のタイミングで外部からの遠隔操作によって不正な処理を行うマルウェア,トロイの木馬,スパイウェア,ワーム,マルウェア,トロイの木馬
コンピュータウイルスを検出し、駆除するソフトウェア。ワクチンプログラムともいう,ウイルス定義ファイル,ワクチンプログラム,ウイルス対策ソフト,ワーム,ウイルス対策ソフト
コンピュータウイルスの特徴を記録したウイルス検出用のファイル,ワクチンプログラム,ワーム,ウイルス対策ソフト,ウイルス定義ファイル,ウイルス定義ファイル
コンピュータウイルスを検出し、除去したり、感染したファイルを削除したりするソフトウェア,ワーム,ウイルス対策ソフト,ワクチンプログラム,トロイの木馬,ワクチンプログラム
アルゴリズムの基本構造の一つで、流れ図では各処理が直線的に繋がり、上から下へ順に実行される,順次,選択,繰り返し,トレース,順次
アルゴリズムの基本構造の一つで、流れ図では判断記号を用い、条件によって処理が分かれる,順次,選択,流れ図,トレース,選択
アルゴリズムの基本構造の一つで、流れ図ではループ端記号を用い、指定した条件が満たされている間は処理を繰り返す,順次,流れ図,繰り返し,トレース,繰り返し
選択構造、繰り返し構造の条件で、ある処理を指定した回数分、実行しているか判断する,順次,選択,条件判定,回数判定,回数判定
選択構造、繰り返し構造の条件で、ある値が指定した値かどうか判断する,トレース,データの入出力,回数判定,条件判定,条件判定
アルゴリズムを図式化したもの。流れ図記号を用いて、原則、処理が上から下へと流れるように記述する,トレース,データの入出力,流れ図,条件判定,流れ図
流れ図にそって処理上から下へ順にたどり、処理手順や変数の記憶内容などを確認する作業,流れ図,トレース,算術演算,論理演算,トレース
流れ図で、データを入力したり出力したりする時に記述する記号,トレース,データの入出力,選択,変数,データの入出力
数値を演算すること。加算、減算、乗算、除算などがある,算術演算,論理演算,表示,変数,算術演算
真偽値を演算すること。AND演算、OR演算、XOR演算、NOT演算などがある,表示,定数,算術演算,論理演算,論理演算
流れ図で、データを画面に表示したりプリンタに印字したり、出力する時に記述する記号,トレース,表示,定数,変数,表示
プログラムでデータを記憶する場所のうち、記憶内容を自由に変化させることができる記憶場所,流れ図,表示,定数,変数,変数
プログラムでデータを記憶する場所のうち、一度指定した値のまま、記憶内容を変えることができない記憶場所,流れ図,表示,定数,変数,定数
表計算ソフトウェアにおいて、データの入力や計算、グラフの作成などを行う複数の行と列からなる領域,セル,セルの表示形式,ワークシート,文字位置,ワークシート
表計算ソフトウェアにおいて、行と列により位置を指定できる一つ一つのマス目のこと,セル,セルの表示形式,ワークシート,文字位置,セル
ワークシートの横方向のセルの集まり,行,列,行高,列幅,行
ワークシートの縦方向のセルの集まり,行,列,行高,列幅,列
セルの縦の長さ,行,列,行高,列幅,行高
セルの横の長さ,行,列,行高,列幅,列幅
数値の表示において、自動的にカンマをつけたり、円記号を表示させたりすること,文字位置,セルの表示形式,文字方向,セル結合,セルの表示形式
セル内のデータの向きで、横方向の左揃え、中央揃え、右揃えや、縦方向の上揃え、中央揃え、下揃えなどがある,文字位置,セルの表示形式,文字方向,セル結合,文字位置
セル内のデータの向きで、横書き、縦書きのほか、ななめにも設定することができる,文字位置,セルの表示形式,文字方向,セル結合,文字方向
複数のセルを合体させて、一つのセルのように扱えるようにすること,文字位置,セルの表示形式,文字方向,セル結合,セル結合
選択したデータを、元の場所に残したまま、別の場所に同じものを作成すること,文字位置,複写,移動,罫線,複写
選択したデータを、元の場所に残さずに、別の場所に同じものを作成すること,文字位置,移動,罫線,比較演算子,移動
ワークシート上の表を見やすくするために、セルの外枠などに引く線のこと,文字位置,移動,罫線,再計算,罫線
計算式で、比較する条件を設定する際に用いる演算子。＝＜＞などがある,算術演算子,再計算,比較演算子,絶対参照,比較演算子
計算式で、四則計算などに用いる演算子。＋ー＊・＾などがある,算術演算子,再計算,比較演算子,絶対参照,算術演算子
セルの値を変更すると、自動的に改めて計算を行い、新しい計算結果を表示すること,引数,相対参照,再計算,絶対参照,再計算
関数を用いるときに、セル範囲や桁数などを指定する場所,相対参照,絶対参照,引数,並び替え,引数
セルを移動したり複写した場合、セル番地が自動的に変化するように列記号と行番号に＄記号をつけないもの,算術演算子,比較演算子,再計算,相対参照,相対参照
セルを移動したり複写した場合に、元のセル番地が変化しないように列番号と行番号に＄記号をつけたもの,算術演算子,比較演算子,相対参照,絶対参照,絶対参照
ある項目（列）を基準として、特定の規則に従って整列させること,並び替え,キー項目,昇順,降順,並び替え
データを並べ替えるときに、その基準となる項目（列）のこと,並び替え,キー項目,昇順,降順,キー項目
データを並べ替えるときに、値の小さいものから順に並べる方法,並び替え,キー項目,昇順,降順,昇順
データを並べ替えるときに、値の大きいものから順に並べる方法,並び替え,キー項目,昇順,降順,降順
指定したセル範囲の合計を求める関数,SUM,AVERAGE,MAX,MIN,SUM
指定したセル範囲の平均値を求める関数,SUM,AVERAGE,MAX,MIN,AVERAGE
指定したセル範囲の最大値を求める関数,MAX,AVERAGE,MIN,RANK,MAX
指定したセル範囲の最小値を求める関数,MAX,AVERAGE,MIN,RANK,MIN
指定したセル範囲内での順位を求める関数,MAX,AVERAGE,MIN,RANK,RANK
指定した条件により、真・偽を判定し、それぞれの場合に異なる処理をさせる関数,IF,COUNT,COUNTA,ROUND,IF
指定したセル範囲で、数値データが入力されたセルの件数を求める関数,IF,COUNT,COUNTA,ROUNDUP,COUNT
指定したセル範囲で、空白のセル以外の、数値または文字が入力されたセルの件数を求める関数,COUNT,IF,ROUNDDOWN,COUNTA,COUNTA
四捨五入して指定した桁数にする関数,ROUND,IF,ROUNDDOWN,ROUNDUP,ROUND
指定した桁数に切り上げる関数,ROUND,IF,ROUNDDOWN,ROUNDUP,ROUNDUP
指定した桁数に切り捨てる関数,ROUND,LEN,ROUNDDOWN,ROUNDUP,ROUNDDOWN
指定したセルの文字数を求める関数,LEFT,RIGHT,MID,LEN,LEN
指定したセルの左端から指定した文字数を取り出す関数,LEFT,RIGHT,LEN,MID,LEFT
指定したセルの右端から指定した文字数を取り出す関数,RIGHT,LEFT,LEN,VALUE,RIGHT
指定したセルから指定した文字数を取り出す関数,RIGHT,MID,LEFT,VALUE,MID
指定したセルの文字データを、数値データに変換する関数,VALUE,MID,LEFT,NOW,VALUE
現在の日付と時刻をシリアル値で表示する関数,VALUE,MID,NOW,TODAY,NOW
現在の日付をシリアス地で表示する関数,ROUNDUP,NOW,TODAY,MID,TODAY
ある関数の引数に他の関数を用いること,絶対参照,引数,入れ子,相対参照,入れ子
量の変化や大きさを表すときに用いるグラフ,集合棒グラフ,積み上げ棒グラフ,100%積み上げ棒グラフ,折れ線グラフ,集合棒グラフ
複数の要素を一つの棒で表し、総量に対する各データの比率を表すときに用いるグラフ,集合棒グラフ,積み上げ棒グラフ,100%積み上げ棒グラフ,折れ線グラフ,積み上げ棒グラフ
全体に対する各要素の構成比やその時間的変化を表す時に用いるグラフ,集合棒グラフ,積み上げ棒グラフ,100%積み上げ棒グラフ,折れ線グラフ,100%積み上げ棒グラフ
時系列での変化を表すときに用いるグラフ,集合棒グラフ,積み上げ棒グラフ,100%積み上げ棒グラフ,折れ線グラフ,折れ線グラフ
内訳比率を表す時に用いるグラフ,集合棒グラフ,積み上げ棒グラフ,円グラフ,切り離し円グラフ,円グラフ
円グラフで、一部の項目を切り離して強調して示したもの,集合棒グラフ,円グラフ,切り離し円グラフ,レーダーチャート,切り離し円グラフ
各項目間のバランスを表す時に用いるグラフ,円グラフ,切り離し円グラフ,レーダーチャート,軸,レーダーチャート
グラフの横軸と縦軸を入れ替えること,タイトル,軸,行列の切り替え,凡例,行列の切り替え
グラフの表題を付ける部分,タイトル,軸,行列の切り替え,凡例,タイトル
グラフの縦軸や横軸のこと。数値のメモリを示した数値軸と項目名を示した項目軸からなる,タイトル,軸,行列の切り替え,凡例,軸
グラフの縦軸や横軸のつける見出し,タイトル,軸,ラベル,凡例,ラベル
グラフの各要素を、色やパターンで区分して示した部分,タイトル,軸,行列の切り替え,凡例,凡例
